KPI,Participantes,Cumplimiento %,Puntos
Presupuesto,82,95.89,191000
CAFE,82,99.76,43500
Presupuesto Caldos,72,98.97,29000
CALDOS,81,94.04,17300
GRANOLA,74,79.67,14800
CEREALES 30G Y 90G,75,112.85,14200
GALLETAS,35,101.3,12400
PURINA,73,121.31,11700
GUMS,74,123.53,10400
SALSAS FRÍAS,75,96.44,9700
MAGGI ACHIOTE,82,61.72,7600
CEREALES,74,95.13,7500
MAYONESA SANDUCHERA,44,105.26,7200
SAZÓN LIMÓN,74,101.15,6100
NESTLE TABLETA MANI,33,113.68,5500
NESTLE TABLETA LECHE,33,113.43,5400
AMOR DUO,33,106.28,5300
ZOOLOGIA MINI,30,105.54,4700
WAFFER,33,91.82,4400
RICAS MINI,30,103.72,3800
NUTRICION,21,74.31,2000
NESTLE Tableta Leche,32,80.25,1400
SNACK NH,69,38.29,900
TERRAFERTIL,20,84.95,400
NESTLE Tableta Mani,32,62.44,100
CHOCOFANTÁSTICOS,30,34.16,0
Presupuesto Amor,32,0,0
Sin nombre,68,41.37,0
