KPI,Participantes,Cumplimiento %,Puntos
Presupuesto,514,139.77,510600
AMOR DUO,400,213.86,211800
CEREALES 30G Y 90G,423,151.67,186300
TABLETA LECHE,400,136.32,174400
GUMS,495,102.5,170100
TABLETA MANI,400,120.39,155600
CAFE,508,100.21,149700
GRANOLA,394,115.66,135800
ZOOLOGIA MINI,393,148.82,124000
Presupuesto Caldos,384,94.93,123000
RICAS MINI,393,139.28,123000
GALLETAS,462,103.97,108300
MAGGI ACHIOTE,476,61.76,104400
WAFFER,421,104.66,97500
CALDOS,427,102.11,82000
PURINA,379,111.65,73700
CEREALES,394,108.17,70300
SALSAS FRÍAS,422,99.96,57200
CHOCOWAFFER FRESA,314,256.92,24500
CHOCOWAFFER CHOCOLATE,368,167.86,23900
KIT KAT,371,120.7,18000
MAYONESA SANDUCHERA,1,125.7,300
SAZÓN LIMÓN,2,100.56,250
TERRAFERTIL,1,79.39,0
SNACK NH,2,31.1,0
Presupuesto Amor,368,0,0
NUTRICION,1,67.47,0
Sin nombre,381,0.29,0
