Categoría,Canjes,Puntos Usados,Costo USD
Hogar,1146,868188,44056.17
Cupones,1142,173522,9111.01
Tecnología,403,452159,21873.98
Celulares,168,348442,17534.06
Juguetes,123,27503,1382.78
Deportes,116,61273,2999.15
Mejora tu Negocio,99,76550,3824.42
Perfumería y Cuidado Personal,25,22025,1350.08
"Navidad, Hogar",22,10382,602
Computadoras,18,65159,3540.19
"Hogar, Mejora tu Negocio",15,13089,669
"Mejora tu Negocio, Hogar",15,6320,353.7
Bebé,13,9024,442.86
"Autos & Motos, Tecnología",10,4110,200
Autos & Motos,7,3097,183
"Celulares, Tecnología",6,13330,705.24
"Tecnología, Celulares",5,12425,605
Mascotas,4,2010,97
Estilo de vida,3,4240,212
"Hogar, Navidad",2,1639,79.85
Hobbies,1,7227,536
"Tecnología, Computadoras",1,657,32
"Estilo de vida, Cupones",1,2000,100
"Juguetes, Bebé",1,1129,55
"Hogar, Tecnología",1,1766,86
