Premio,Categoría,Canjes,Puntos Usados,Costo USD
Celular,Celulares,168,348442,355
Cupón $5,Cupones,139,13900,5
Cupón $10,Cupones,123,21714,10
Cupón $20 ,Cupones,104,38048,20
Combo Ruster,Cupones,87,4253,3.24
Audífonos,Tecnología,82,36755,75
Parlante,Tecnología,59,48728,330
Smart Watch,Tecnología,59,29726,62
Presa +Arroz + Menestra,Cupones,58,2658,2.41
Licuadora,Hogar,58,57882,92
Mochila,Deportes,57,20963,81
Super Combo Dos,Cupones,51,4782,4.907777778
Super Combo Uno,Cupones,47,3031,3.24
Big Box,Cupones,46,5268,6.08
Almohada,Hogar,45,10051,26
Smart Tv,Tecnología,45,214844,340
Combo Twister,Cupones,45,3450,4
Sábana,Hogar,43,17888,64
Candado,Hogar,39,2551,5
Combo Wow Box Ruster,Cupones,36,3456,4.81
Olla Arrocera,Hogar,36,26717,60
Super Combo Tres,Cupones,35,3836,5.58
Sanduchera,Hogar,30,15754,63
Freidora de Aire,Hogar,30,37931,100
Festin Alitas,Cupones,30,9600,16
Promoción 12 presas,Cupones,30,9541,16.1
Plancha,Hogar,29,12187,57
Barra de Sonido,Tecnología,29,23653,73
Microondas,Hogar,29,43128,136
Ventilador,Hogar,27,17998,35.01
Bolso para Tocador,Hogar,27,3008,18.4
Cafetera,Hogar,26,22467,110
Big Box Recargado,Cupones,25,3100,6.22
Freidora ,Hogar,24,33712,78
Parrillada Casera Individual,Cupones,23,2890,7.5
Combo Ideal,Cupones,21,2436,5.787222222
Cobertor,Hogar,21,16451,70
Festín Familiar 2,Cupones,21,7326,17.556
Tetera,Hogar,20,3501,9.14
Alexa Echo Dot,Tecnología,20,23250,62.56
Exprimidor de Jugos,Hogar,20,9286,40
Nevado de Chocolate,Cupones,20,1480,3.7
Carro,Juguetes,19,2132,6
Muñeco,Juguetes,18,4500,26
Set Cubiertos,Hogar,18,5822,23
Bicicleta ,Deportes,17,26738,125
Secador de Cabello,Hogar,17,16156,70
Aspiradora,Hogar,17,8942,103
Humificador,Hogar,16,2464,7.5
Combo Económico,Cupones,15,927,3.24
